participant_id,account_status,horizon,baseline_stage,baseline_stage_label,baseline_exercise,baseline_date,followup_stage,followup_stage_label,followup_exercise,followup_date,stages_gained,confirmed_goblet_to_nexus,progression_classification
WSP-DFD4C8DEAD,deactivated,12 months (300-450d),1,Goblet Squat,Kettlebell Goblet Squat,2024-08-08,2,Nexus Point Squat,Barbell Front Squat,2025-06-10,1,True,Advanced: confirmed Goblet to Nexus
WSP-A03074CBCD,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-08-14,1,Goblet Squat,Goblet Box Squat,2024-12-24,-1,False,Only a lower stage was observed in this window; not evidence of regression
WSP-834F6C7D34,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-08-30,2,Nexus Point Squat,Barbell Front Squat,2025-01-06,0,False,Same highest stage observed
WSP-834F6C7D34,deactivated,12 months (300-450d),2,Nexus Point Squat,Nexus Point Squat,2024-08-30,2,Nexus Point Squat,Barbell Front Squat,2025-06-16,0,False,Same highest stage observed
WSP-C7DB94648A,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-08-23,2,Nexus Point Squat,Barbell Front Squat,2025-04-07,0,False,Same highest stage observed
WSP-C7DB94648A,deactivated,12 months (300-450d),2,Nexus Point Squat,Nexus Point Squat,2024-08-23,2,Nexus Point Squat,Barbell Front Squat,2025-06-23,0,False,Same highest stage observed
WSP-ACF22DFC36,active,6 months (120-240d),1,Goblet Squat,Goblet Box Squat,2024-08-23,2,Nexus Point Squat,Barbell Front Squat,2025-03-10,1,True,Advanced: confirmed Goblet to Nexus
WSP-ACF22DFC36,active,12 months (300-450d),1,Goblet Squat,Goblet Box Squat,2024-08-23,2,Nexus Point Squat,Barbell Front Squat,2025-06-23,1,True,Advanced: confirmed Goblet to Nexus
WSP-ACF22DFC36,active,24 months (600-900d),1,Goblet Squat,Goblet Box Squat,2024-08-23,2,Nexus Point Squat,Barbell Front Squat,2026-05-12,1,True,Advanced: confirmed Goblet to Nexus
WSP-203C8BDBC2,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-08-23,2,Nexus Point Squat,Nexus Point Squat,2024-12-20,0,False,Same highest stage observed
WSP-203C8BDBC2,deactivated,12 months (300-450d),2,Nexus Point Squat,Nexus Point Squat,2024-08-23,2,Nexus Point Squat,Barbell Front Squat,2025-06-23,0,False,Same highest stage observed
WSP-CB9B1E6147,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-08-30,2,Nexus Point Squat,Nexus Point Squat,2024-12-27,0,False,Same highest stage observed
WSP-C91829EC0C,active,6 months (120-240d),1,Goblet Squat,Goblet Box Squat,2024-09-06,2,Nexus Point Squat,Barbell Front Squat,2025-01-13,1,True,Advanced: confirmed Goblet to Nexus
WSP-C91829EC0C,active,12 months (300-450d),1,Goblet Squat,Goblet Box Squat,2024-09-06,2,Nexus Point Squat,Nexus Point Squat,2025-06-30,1,True,Advanced: confirmed Goblet to Nexus
WSP-C91829EC0C,active,24 months (600-900d),1,Goblet Squat,Goblet Box Squat,2024-09-06,2,Nexus Point Squat,Nexus Point Squat,2026-06-29,1,True,Advanced: confirmed Goblet to Nexus
WSP-FF4581D5ED,active,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-09-06,2,Nexus Point Squat,Barbell Front Squat,2025-01-06,0,False,Same highest stage observed
WSP-FF4581D5ED,active,12 months (300-450d),2,Nexus Point Squat,Nexus Point Squat,2024-09-06,2,Nexus Point Squat,Nexus Point Squat,2025-06-30,0,False,Same highest stage observed
WSP-FF4581D5ED,active,24 months (600-900d),2,Nexus Point Squat,Nexus Point Squat,2024-09-06,2,Nexus Point Squat,Nexus Point Squat,2026-07-06,0,False,Same highest stage observed
WSP-89E2851F63,active,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-10-18,2,Nexus Point Squat,Barbell Front Squat,2025-02-03,0,False,Same highest stage observed
