participant_id,account_status,movement,baseline_source_exercise,followup_source_exercise,horizon,baseline_level,followup_level,levels_gained,baseline_ratio,followup_ratio
WSP-C1751DA190,deactivated,Farmer Walk 60s,Farmer Walk,Farmer Walk,6 months (120-240d),Below Live,Below Live,0,0.106,0.176
WSP-C1751DA190,deactivated,Nexus Point Squat,Barbell Back Squat,Nexus Point Squat,12 months (300-450d),Live,Live,0,0.538,0.677
WSP-C1751DA190,deactivated,Nexus Point Squat,Barbell Back Squat,Nexus Point Squat,6 months (120-240d),Live,Live,0,0.538,0.566
WSP-C43D13B011,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Live,0,0.428,0.448
WSP-C43D13B011,deactivated,Deadlift,Barbell Deadlift,Barbell Deadlift,6 months (120-240d),Live,Live,0,0.67,0.842
WSP-A16D32377E,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Live,0,0.405,0.442
WSP-A16D32377E,deactivated,Deadlift,Barbell Deadlift,Barbell Deadlift,6 months (120-240d),Live,Live,0,0.555,1.023
WSP-A16D32377E,deactivated,Nexus Point Squat,Nexus Point Squat,Nexus Point Squat,12 months (300-450d),Live,Below Live,-1,0.543,0.477
WSP-A16D32377E,deactivated,Nexus Point Squat,Nexus Point Squat,Nexus Point Squat,6 months (120-240d),Live,Live,0,0.543,0.607
WSP-E4DBF5AF4F,deactivated,Deadlift,Barbell Deadlift,Barbell Deadlift,6 months (120-240d),Live,Live,0,0.626,0.704
WSP-917EBE9157,active,Nexus Point Squat,Nexus Point Squat,Barbell Back Squat,12 months (300-450d),Below Live,Below Live,0,0.148,0.249
WSP-D68795368D,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,24 months (600-900d),Live,Live,0,0.412,0.447
WSP-3E3373D817,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,12 months (300-450d),Live,Long,1,0.691,0.836
WSP-3E3373D817,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Long,1,0.691,0.753
WSP-3E3373D817,deactivated,Deadlift,Barbell Deadlift,Barbell Deadlift,12 months (300-450d),Live,Long,1,0.873,1.309
WSP-3E3373D817,deactivated,Deadlift,Barbell Deadlift,Barbell Deadlift,6 months (120-240d),Live,Live,0,0.873,1.02
WSP-3E3373D817,deactivated,Nexus Point Squat,Nexus Point Squat,Nexus Point Squat,12 months (300-450d),Below Live,Live,1,0.436,0.982
WSP-3E3373D817,deactivated,Nexus Point Squat,Nexus Point Squat,Nexus Point Squat,6 months (120-240d),Below Live,Below Live,0,0.436,0.492
WSP-993531D4CB,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Live,0,0.345,0.5
WSP-993531D4CB,deactivated,Deadlift,Barbell Deadlift,Barbell Deadlift,6 months (120-240d),Live,Live,0,0.764,0.862
WSP-12B45EC0B3,active,Bench Press,Barbell Bench Press,Barbell Bench Press,12 months (300-450d),Live,Live,0,0.257,0.61
WSP-12B45EC0B3,active,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Live,0,0.257,0.499
WSP-F148A8C19A,active,Bench Press,Barbell Bench Press,Barbell Bench Press,12 months (300-450d),Live,Live,0,0.253,0.571
WSP-F148A8C19A,active,Bench Press,Barbell Bench Press,Barbell Bench Press,24 months (600-900d),Live,Live,0,0.253,0.652
WSP-F148A8C19A,active,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Live,0,0.253,0.495
WSP-F148A8C19A,active,Deadlift,Barbell Deadlift,Barbell Deadlift,12 months (300-450d),Live,Live,0,0.821,1.206
WSP-F148A8C19A,active,Deadlift,Barbell Deadlift,Barbell Deadlift,24 months (600-900d),Live,Live,0,0.821,1.118
